epoch,accuracy,learning_rate,loss,top_2_acc,val_accuracy,val_loss,val_top_2_acc
0,0.4957900047302246,0.0010000000474974513,61.49114227294922,0.8865774869918823,0.3333333432674408,98.30384826660156,0.9742063283920288
1,0.522040605545044,0.0010000000474974513,190.73402404785156,0.9509658217430115,0.3650793731212616,262.8039245605469,0.9226190447807312
2,0.45468053221702576,0.0010000000474974513,660.6553955078125,0.9796929359436035,0.3333333432674408,2719.017578125,1.0
3,0.5096582174301147,0.0010000000474974513,1353.1466064453125,0.98959881067276,0.329365074634552,3006.064453125,0.9980158805847168
4,0.519564151763916,0.0010000000474974513,1673.4840087890625,0.9965329170227051,0.3333333432674408,2245.958251953125,1.0
5,0.5037146806716919,0.0010000000474974513,2759.8759765625,0.9975235462188721,0.4464285671710968,5476.45703125,0.9920634627342224
6,0.5547300577163696,0.0005000000237487257,2335.04443359375,0.9990094304084778,0.4960317313671112,1057.7340087890625,0.9980158805847168
7,0.5567112565040588,0.0005000000237487257,1719.699462890625,0.9980188012123108,0.6984127163887024,482.1250305175781,0.9920634627342224
8,0.5829618573188782,0.0005000000237487257,1470.0770263671875,0.9960376620292664,0.6111111044883728,752.186767578125,0.9980158805847168
9,0.5898959636688232,0.0005000000237487257,1343.5167236328125,0.9980188012123108,0.6150793433189392,816.2710571289062,0.9742063283920288
10,0.6146607398986816,0.0005000000237487257,1054.88623046875,0.9960376620292664,0.7857142686843872,398.9143371582031,1.0
